Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,20500
1,0,163,114,20500
2,0,437,114,20500
3,0,707,116,20500
4,0,974,120,20500
5,0,1241,122,20500
6,0,1509,122,20500
7,0,1771,124,20500
8,0,2036,124,20500
9,0,2298,124,20500
10,0,2559,124,20500
11,0,2819,124,20500
12,0,3071,124,20500
13,0,3322,124,20500
14,0,3572,124,20500
15,0,3822,124,20500
16,0,4080,124,20500
17,0,4339,124,20500
18,0,4595,124,20500
19,0,4847,124,20500
20,0,5097,124,0
21,0,5346,124,0
22,0,5598,124,0
23,0,5853,124,0
24,0,6105,124,0
25,0,6352,124,0
26,0,6600,124,0
27,0,6848,124,0
28,0,7095,124,0
29,0,7337,124,0
30,0,7577,124,0
